age,MonthlyIncome,DebtRatio,NumberOfOpenCreditLinesAndLoans,NumberOfDependents,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,NumberOfTimes90DaysLate,RevolvingUtilizationOfUnsecuredLines,SeriousDlqin2yrs
54,4836.78,0.2615,2,0,0,1,0,0.1427,1
23,1425.41,0.567,3,1,0,0,0,0.1416,0
29,2582.47,0.4923,6,4,1,0,0,0.2888,0
35,8612.21,0.2952,5,3,1,0,0,0.237,1
27,1944.14,0.2198,4,1,0,0,0,0.4435,0
46,2322.93,0.113,5,0,0,0,0,0.2253,1
60,3669.89,0.4551,9,2,0,0,1,0.2688,0
59,4315.14,0.0555,5,1,0,1,0,0.6284,0
48,2502.38,0.6353,2,1,0,1,0,0.2693,1
71,3813.03,0.3511,9,2,0,0,0,0.5277,0
54,5243.6,0.4658,7,2,0,0,0,0.5209,1
25,11812.0,0.4948,2,0,0,0,0,0.1341,1
66,3375.35,0.5771,5,1,1,0,0,0.0406,1
54,3551.84,0.2247,4,1,1,0,0,0.6352,1
58,9104.02,0.2603,9,2,0,0,0,0.6931,1
54,2618.88,0.4713,9,0,0,0,0,0.2961,0
53,1644.82,0.3555,5,0,1,0,0,0.8559,0
26,4230.81,0.3387,8,0,0,0,0,0.4127,0
53,6944.5,0.0929,7,2,0,0,0,0.0846,0
67,4521.63,0.304,6,1,0,1,1,0.5378,1
38,3435.06,0.0474,5,2,0,0,0,0.3808,0
56,1526.85,0.0582,6,0,0,0,0,0.3679,0
22,3515.65,0.4373,6,1,0,0,0,0.3654,1
41,7630.38,0.2949,7,4,0,0,1,0.3345,1
46,1736.33,0.3398,8,0,1,0,0,0.0221,1
78,3143.69,0.3535,5,0,1,0,0,0.1115,1
33,2885.66,0.5579,9,0,0,0,0,0.3174,1
37,2395.57,0.247,3,0,0,0,0,0.1125,0
45,4224.91,0.1709,6,1,0,0,0,0.7218,1
79,4750.4,0.4585,13,0,0,0,0,0.3007,0
71,4720.62,0.093,8,0,0,0,0,0.0593,0
23,2026.19,0.3668,8,2,0,2,0,0.3234,0
34,1356.16,0.1957,10,1,0,0,0,0.3461,1
69,4261.74,0.1569,7,1,0,0,0,0.1235,1
24,2687.72,0.3244,8,2,1,0,0,0.3615,0
71,10970.74,0.2349,8,1,1,0,0,0.8174,0
37,11279.09,0.12,6,1,0,0,0,0.3265,0
75,12021.04,0.1321,4,0,1,1,0,0.3564,0
38,2071.3,0.2651,5,0,0,0,0,0.4672,1
46,5123.65,0.6758,3,1,0,0,0,0.3255,0
60,6139.95,0.1903,6,2,0,0,0,0.2134,0
28,5738.84,0.2883,6,1,0,0,0,0.8924,0
53,2943.52,0.314,7,0,0,0,0,0.1121,0
50,7843.96,0.1618,10,1,0,0,0,0.076,1
67,3641.99,0.4585,11,0,2,0,0,0.601,0
79,3931.84,0.2563,10,0,0,0,0,0.285,1
60,1447.08,0.2718,7,1,0,0,0,0.2655,1
45,5360.75,0.4354,4,2,0,0,0,0.4915,0
44,3114.28,0.2647,8,1,1,0,0,0.1116,0
45,4812.0,0.6078,3,0,2,0,0,0.0144,1
69,4192.57,0.3321,6,1,0,0,0,0.3346,0
39,4058.47,0.3907,10,0,0,0,0,0.5504,1
30,3542.44,0.6747,3,1,0,0,0,0.4229,1
40,5836.93,0.6353,5,1,0,0,0,0.2307,1
22,3231.38,0.0362,8,1,1,1,0,0.2618,0
27,1520.63,0.304,4,0,2,1,0,0.0796,1
26,5122.37,0.3315,5,1,0,0,0,0.1127,0
66,2240.82,0.0133,8,2,1,1,0,0.1931,1
63,1644.91,0.0785,3,2,0,0,0,0.6091,1
62,1971.71,0.1031,4,1,0,0,1,0.4458,0
48,4315.63,0.0904,9,0,0,0,0,0.7638,0
63,3436.09,0.3093,7,2,1,0,0,0.4704,1
30,1012.72,0.2671,6,2,0,0,0,0.4572,0
74,2892.3,0.396,5,0,1,0,0,0.0378,0
50,7343.26,0.2747,6,0,0,0,0,0.5111,1
76,2777.27,0.1706,5,2,0,1,0,0.1829,0
29,3296.82,0.3653,8,2,2,0,0,0.1506,0
50,6807.6,0.306,2,4,0,0,0,0.1833,1
62,5868.14,0.2356,13,4,0,0,1,0.1024,1
50,6721.39,0.4685,7,1,0,0,0,0.5272,1
47,689.85,0.203,8,2,0,1,0,0.1876,0
30,10302.21,0.2313,7,2,1,0,0,0.3837,1
43,5333.91,0.2697,9,0,1,2,0,0.8137,1
35,15944.77,0.2506,7,2,0,0,0,0.2558,0
38,2276.98,0.4253,5,1,0,1,0,0.4011,1
61,1263.86,0.1782,7,3,1,0,0,0.6169,1
58,3656.75,0.4723,9,2,0,0,0,0.1878,1
56,3086.45,0.2519,7,2,0,0,0,0.2869,1
42,5389.45,0.5249,3,0,0,0,1,0.4825,1
77,6939.31,0.0796,9,0,0,0,0,0.5354,0
26,3455.16,0.4301,5,0,0,0,1,0.344,1
41,3151.32,0.4237,8,1,0,0,0,0.186,0
27,4982.23,0.2158,3,0,1,1,0,0.586,1
40,3121.92,0.0835,4,0,0,0,0,0.0993,0
77,2969.09,0.236,12,0,0,0,1,0.3892,0
42,6783.72,0.4041,7,0,0,1,0,0.111,1
74,7753.24,0.2183,4,0,0,0,0,0.253,1
50,6977.04,0.1238,5,0,1,0,0,0.22,1
62,3291.38,0.2718,5,1,1,0,1,0.2353,1
47,1008.41,0.4549,9,1,0,0,0,0.5104,0
36,3331.16,0.0582,11,2,0,0,0,0.0297,0
66,2310.48,0.1646,4,2,0,0,0,0.2361,0
78,3368.31,0.3095,5,0,0,0,0,0.1318,0
36,2434.13,0.1319,4,1,1,1,0,0.109,1
66,3595.92,0.2821,2,1,0,1,0,0.2868,1
36,1951.66,0.7294,5,3,1,1,0,0.5195,1
63,1688.46,0.7845,12,2,0,0,0,0.302,1
67,7582.63,0.3774,10,1,0,0,0,0.4741,1
47,2034.91,0.2694,8,1,1,0,0,0.2665,0
64,3641.67,0.5372,5,1,1,1,0,0.0221,0
37,6455.64,0.2747,9,0,0,0,0,0.1245,1
25,6301.75,0.3109,5,1,0,0,0,0.1386,0
26,5865.89,0.0224,5,0,0,0,0,0.3807,0
47,4366.51,0.5141,8,0,0,0,0,0.2945,0
74,5621.77,0.1634,7,0,0,0,0,0.256,0
28,8298.69,0.5285,8,0,0,0,0,0.2397,1
47,4698.57,0.1359,10,3,0,0,0,0.3379,0
62,1209.16,0.2056,8,0,0,1,0,0.1689,0
32,2651.5,0.1529,5,0,1,0,0,0.4275,0
63,5529.33,0.1212,6,0,0,0,0,0.357,0
39,2499.24,0.2606,2,3,1,1,0,0.378,0
68,9624.47,0.5127,6,1,1,0,0,0.2026,0
55,3505.51,0.0529,12,1,0,0,0,0.2211,1
53,3832.03,0.2399,4,0,1,0,0,0.2797,0
31,7149.85,0.3549,12,0,0,0,0,0.1527,1
48,3262.63,0.2496,8,2,1,0,0,0.6441,0
71,4047.14,0.2632,3,1,0,1,0,0.1661,0
22,6244.61,0.377,5,3,0,0,0,0.265,0
65,1505.13,0.1471,7,0,0,0,0,0.0383,0
50,3068.12,0.0727,8,1,1,1,0,0.2611,0
63,5987.88,0.4744,6,0,1,0,0,0.4444,1
60,3787.12,0.4178,5,0,0,0,0,0.5113,1
46,8781.48,0.0545,4,0,0,0,0,0.0476,0
39,1414.38,0.1134,5,0,0,0,0,0.8195,0
58,1320.81,0.2547,8,1,1,0,0,0.2776,0
29,5777.99,0.2822,6,1,0,0,0,0.6597,1
55,6121.02,0.0694,6,0,1,0,1,0.1613,1
26,3242.34,0.5029,7,1,0,1,0,0.2177,1
59,4629.65,0.1002,9,1,1,0,0,0.0819,1
58,5693.75,0.0636,7,0,0,0,0,0.6628,1
25,2234.3,0.164,6,0,0,0,0,0.2543,1
65,2382.47,0.2212,10,1,1,0,0,0.2112,1
45,4079.93,0.4168,1,1,0,0,0,0.6339,1
67,6263.24,0.4254,4,1,0,0,0,0.6575,0
23,1808.81,0.4608,2,0,0,0,0,0.5014,0
31,3233.21,0.2667,6,1,0,0,0,0.3068,0
50,3144.65,0.2864,7,0,0,0,2,0.4806,1
32,4678.7,0.2933,8,1,0,0,1,0.2268,1
40,3622.0,0.2412,7,4,2,0,0,0.0816,1
59,2624.04,0.149,7,2,0,0,0,0.3273,1
29,7701.26,0.0281,5,1,0,0,0,0.5567,0
60,2634.49,0.5512,8,1,1,0,0,0.4528,1
27,3055.63,0.1233,5,1,0,0,0,0.1004,0
31,1401.22,0.2972,3,2,0,0,0,0.1701,0
55,2372.8,0.2607,6,0,0,0,0,0.2053,1
67,4962.4,0.2635,3,0,0,0,0,0.2757,0
31,4413.23,0.1948,6,0,0,0,0,0.3984,0
38,5217.17,0.3218,10,0,1,0,0,0.0077,1
75,5067.43,0.5435,5,0,0,0,0,0.075,1
79,12741.61,0.3506,4,1,0,0,0,0.5693,1
55,2324.56,0.3837,6,0,1,1,0,0.1907,0
47,1377.94,0.0792,4,1,0,0,0,0.2226,1
41,1938.5,0.5955,3,0,0,0,0,0.0935,0
57,2387.04,0.3364,3,1,0,0,0,0.581,1
55,2029.21,0.4272,5,4,1,0,0,0.5492,1
38,3851.42,0.2413,6,1,1,0,0,0.2363,1
22,7720.18,0.7961,4,1,1,0,0,0.4818,1
29,9170.94,0.3539,3,0,0,0,0,0.221,1
77,4927.49,0.1522,6,2,2,1,1,0.7073,1
45,13157.71,0.0994,3,0,0,0,0,0.4188,0
49,2940.03,0.0441,2,1,1,0,0,0.2733,1
48,1367.16,0.3916,7,1,2,0,0,0.0053,1
67,6849.33,0.2066,12,1,0,0,0,0.5929,0
24,1208.15,0.4372,6,2,0,0,1,0.6606,1
25,2314.61,0.4976,4,1,1,0,0,0.0812,1
37,4974.44,0.2136,7,0,1,0,0,0.2828,1
49,3424.02,0.0797,5,0,0,0,0,0.3904,0
60,3246.81,0.6065,6,1,0,0,0,0.3181,0
49,1792.79,0.226,5,0,0,0,0,0.1933,0
47,3617.43,0.463,5,0,0,0,0,0.0042,1
76,6648.84,0.171,6,0,0,0,0,0.4755,0
30,3684.83,0.0896,11,1,0,0,0,0.4238,1
54,2212.47,0.3394,8,0,0,0,0,0.4271,0
52,1722.41,0.2697,5,0,0,0,0,0.0498,0
48,2240.03,0.3354,6,0,0,1,0,0.1033,1
68,4607.31,0.1446,10,1,1,0,0,0.3763,0
36,4474.55,0.1684,9,0,0,0,0,0.666,0
77,2252.27,0.6202,1,2,0,0,0,0.1125,0
40,966.37,0.5858,6,0,0,0,1,0.2203,1
53,4684.47,0.2489,5,1,1,0,0,0.1687,1
51,2124.68,0.0639,6,0,0,0,0,0.4617,1
71,5505.14,0.1671,8,3,0,0,0,0.6444,0
46,2313.08,0.2385,3,2,0,0,0,0.1386,1
37,2012.76,0.4614,6,1,0,0,0,0.2128,1
22,3991.42,0.237,7,1,0,0,0,0.3305,1
42,14982.22,0.3035,10,0,0,0,0,0.1129,1
69,5706.82,0.1951,7,0,0,0,0,0.017,1
21,3951.03,0.1388,5,0,0,0,0,0.6486,0
73,4515.68,0.4941,9,0,0,0,0,0.7339,1
53,1273.25,0.7987,1,1,0,0,0,0.2502,1
29,1856.77,0.5712,5,0,0,0,0,0.2009,0
38,807.1,0.2701,2,0,0,0,0,0.2648,1
53,10279.68,0.3745,5,0,0,0,0,0.0816,1
39,9103.66,0.0735,4,1,0,0,0,0.233,0
27,4608.65,0.2088,9,1,1,0,0,0.438,0
60,3948.41,0.157,9,2,0,0,0,0.1424,0
60,1435.18,0.3458,4,1,0,0,0,0.3287,1
28,3192.05,0.2004,4,1,0,0,0,0.154,0
37,10672.6,0.2684,3,1,0,0,1,0.229,0
35,3939.66,0.2653,6,1,0,0,0,0.5503,0
59,2594.66,0.0598,6,1,0,0,0,0.0269,0
64,1267.95,0.2351,5,3,1,0,0,0.0404,0
63,8334.71,0.1102,5,0,0,1,0,0.3366,0
76,3491.02,0.2388,7,0,0,0,0,0.0875,0
66,1268.97,0.4236,8,0,0,0,0,0.3052,1
39,2091.09,0.1983,7,0,0,0,0,0.1939,0
27,1691.68,0.32,4,1,0,0,0,0.3468,1
57,3364.23,0.1846,6,1,2,1,0,0.6508,0
75,4123.28,0.0639,8,0,0,2,0,0.332,0
78,2692.08,0.2423,7,0,0,0,0,0.2838,0
34,5803.57,0.1372,5,0,1,0,0,0.3682,1
34,3817.23,0.1235,6,1,1,0,0,0.1396,0
23,6886.98,0.0963,4,2,0,0,0,0.5142,1
29,2938.59,0.3306,7,0,0,0,0,0.8137,1
53,22633.7,0.553,5,1,0,0,0,0.2149,1
53,2594.91,0.6168,6,1,1,0,0,0.3509,1
42,2117.52,0.1533,7,1,2,0,0,0.3662,0
39,1966.91,0.1239,7,1,0,0,0,0.3958,0
69,3208.1,0.3847,6,0,0,0,0,0.0929,0
48,1297.61,0.3333,2,2,0,0,0,0.1942,0
68,4344.81,0.2952,8,0,0,0,0,0.5584,0
77,1160.75,0.4219,5,1,0,0,0,0.2517,0
39,4011.83,0.4728,8,1,0,0,1,0.4027,0
32,1618.49,0.2343,3,1,0,0,0,0.1426,1
77,2896.4,0.2571,8,0,0,2,0,0.6191,1
58,5232.92,0.1784,9,3,1,0,0,0.4939,1
38,14507.52,0.1385,2,0,0,0,0,0.5032,0
57,1906.83,0.5747,3,3,0,0,0,0.6725,0
51,3326.94,0.3221,9,2,0,0,0,0.5674,1
74,2358.41,0.2154,7,1,0,0,0,0.2405,1
36,2160.46,0.2949,5,1,0,0,0,0.3797,1
79,2370.88,0.3408,2,0,0,0,2,0.1084,1
76,5969.63,0.2033,9,1,0,0,1,0.047,0
31,2716.68,0.1468,12,0,0,0,0,0.248,0
30,14038.9,0.0616,7,1,0,0,0,0.4137,0
52,4673.14,0.1849,8,0,0,0,0,0.7727,0
23,1986.23,0.1363,7,3,0,0,1,0.5155,1
38,2921.86,0.3606,7,2,0,0,0,0.1165,1
46,2250.46,0.2663,4,1,0,0,0,0.0125,0
78,5884.29,0.6218,4,1,0,0,1,0.7509,1
79,1362.03,0.4612,5,2,0,1,0,0.18,1
29,1628.52,0.1712,8,1,0,0,1,0.723,1
73,2553.12,0.4139,7,1,1,0,0,0.1695,0
26,5484.98,0.4594,8,1,0,0,0,0.4431,1
65,7629.95,0.2902,2,1,2,0,0,0.2087,1
70,8335.89,0.3374,3,0,0,0,0,0.4495,1
73,5003.44,0.1885,6,2,1,0,1,0.3241,1
34,3464.3,0.1425,8,0,0,0,0,0.6694,0
73,5865.1,0.0934,9,1,1,0,0,0.2041,0
27,1832.25,0.1281,6,0,1,0,0,0.11,0
51,1203.76,0.1075,6,3,0,0,0,0.1665,1
48,4731.43,0.1204,2,1,0,0,0,0.2909,0
39,1991.4,0.1373,8,2,0,0,0,0.0997,1
22,3501.04,0.1314,3,1,1,0,0,0.5505,1
66,3911.89,0.0281,8,0,1,0,0,0.0928,0
40,4225.41,0.1777,8,3,0,0,0,0.0922,1
60,6391.18,0.1368,3,0,1,0,0,0.1959,0
45,5998.38,0.1552,5,0,1,1,0,0.2113,1
43,4092.86,0.4772,8,1,1,0,0,0.3719,0
73,2792.77,0.1952,6,2,0,0,0,0.1387,1
26,3884.14,0.3647,9,0,1,1,0,0.2985,0
64,2545.99,0.0969,10,3,0,0,0,0.2457,1
65,3236.16,0.3135,2,1,1,0,0,0.0277,1
43,17516.6,0.519,10,0,2,0,0,0.4657,1
36,4061.53,0.0654,10,0,0,0,0,0.5825,1
21,4770.22,0.4173,9,0,2,0,0,0.3434,0
76,2384.42,0.224,8,0,0,0,0,0.4663,0
76,6714.63,0.4302,7,1,0,0,0,0.7436,1
35,5745.45,0.3844,9,1,0,0,0,0.0663,1
22,5769.91,0.4698,4,0,0,0,0,0.6571,0
28,4142.0,0.4416,3,0,0,1,1,0.3528,0
24,6771.74,0.208,7,1,0,0,0,0.0582,1
70,7808.84,0.2635,6,2,0,0,0,0.1283,0
73,4315.03,0.0709,3,0,0,0,0,0.3597,0
30,3398.99,0.2667,9,1,1,0,1,0.4457,1
65,6227.58,0.5134,2,4,0,0,0,0.3323,0
31,2116.51,0.529,5,3,0,1,0,0.1791,1
42,2366.63,0.268,3,1,0,0,0,0.228,1
56,3526.35,0.6697,5,0,0,0,0,0.2896,1
63,1280.73,0.3788,6,0,0,0,0,0.3555,1
72,5982.28,0.1258,4,0,0,0,0,0.3404,0
23,2043.16,0.1312,6,3,0,0,0,0.4241,0
32,2743.82,0.5306,4,3,0,0,0,0.8054,1
37,3203.61,0.0575,7,2,1,0,0,0.6371,1
39,3727.79,0.4309,4,1,0,0,0,0.4293,0
79,2962.56,0.3389,9,2,0,0,0,0.8669,0
66,3496.71,0.1436,8,1,1,0,1,0.4329,1
39,3512.99,0.8174,7,3,0,1,0,0.1897,1
78,2784.38,0.2346,6,0,0,0,0,0.4876,1
50,2289.49,0.2081,4,1,0,0,0,0.0382,0
50,6966.61,0.2448,5,1,0,0,0,0.1373,0
46,1030.04,0.3541,5,0,0,0,0,0.2024,0
29,3218.18,0.6013,12,0,0,1,0,0.2306,1
76,2748.09,0.103,5,1,0,1,0,0.1716,0
21,4681.04,0.2859,6,2,0,0,0,0.0309,1
31,1521.46,0.3251,7,2,0,0,0,0.5488,0
34,2697.63,0.1169,6,1,0,1,0,0.3081,0
37,3424.07,0.3147,5,0,1,0,0,0.4546,1
28,6919.12,0.2044,6,2,1,0,1,0.2379,1
22,4444.0,0.1126,5,1,0,0,0,0.5366,0
60,1789.89,0.5177,5,1,0,0,0,0.342,0
78,2717.63,0.4694,6,1,0,0,1,0.0603,0
28,6195.82,0.2734,6,4,0,0,0,0.1386,0
38,1771.42,0.1661,5,0,2,0,0,0.2005,1
50,3473.14,0.2599,8,0,0,0,0,0.7045,0
75,3621.08,0.047,7,1,0,0,0,0.3257,1
61,2888.61,0.5266,10,2,0,0,0,0.2018,0
66,18351.22,0.111,12,1,0,0,0,0.6224,0
55,2842.28,0.2196,3,2,0,0,0,0.6336,1
45,4768.84,0.3191,6,0,1,0,0,0.4206,1
32,2298.98,0.6466,5,0,0,0,1,0.3486,0
71,4997.28,0.3947,2,1,0,0,0,0.1703,1
68,6139.34,0.3765,4,0,0,0,0,0.4422,1
22,2558.62,0.5218,2,1,0,1,0,0.6127,1
63,3523.39,0.2469,8,0,0,0,0,0.7353,0
25,2127.78,0.3325,1,0,1,0,0,0.3193,1
64,1832.36,0.2551,3,1,0,0,0,0.0725,0
69,6782.34,0.672,6,0,0,0,0,0.4623,1
28,2611.29,0.4071,4,1,0,0,0,0.4386,0
46,855.63,0.1399,5,2,0,0,0,0.322,1
28,10500.87,0.6254,4,0,0,0,0,0.2081,1
54,2250.13,0.1549,6,1,0,0,0,0.1789,0
75,3140.62,0.0981,7,1,0,0,0,0.7603,0
25,9745.33,0.5169,2,0,1,0,0,0.1105,0
44,3344.11,0.4111,13,0,0,0,0,0.3814,0
78,3301.06,0.3612,0,1,0,0,0,0.5708,0
38,1742.53,0.3291,4,1,0,0,0,0.3774,0
28,1365.26,0.4267,5,0,0,2,0,0.1387,1
49,3295.02,0.4025,4,0,0,0,0,0.7613,1
50,4526.42,0.1955,7,1,0,0,0,0.0289,0
60,4373.48,0.5394,15,2,0,0,0,0.1432,1
39,2727.78,0.521,8,0,0,0,0,0.3655,1
77,3685.47,0.1891,8,1,0,0,0,0.367,1
51,1209.15,0.4711,10,1,0,1,0,0.3317,0
37,4798.7,0.2823,5,2,0,0,0,0.3383,0
77,4011.19,0.4429,5,1,1,1,0,0.3751,1
75,11898.84,0.0598,4,0,1,0,0,0.4357,0
50,3657.33,0.5198,4,2,1,0,0,0.1624,0
22,2068.13,0.1317,5,1,0,0,0,0.4281,0
56,3531.81,0.2005,3,0,1,0,1,0.1196,0
53,2990.87,0.3019,5,2,0,0,1,0.6312,0
29,4725.95,0.2537,4,2,0,0,0,0.3515,0
58,3700.17,0.3759,7,0,0,0,0,0.3121,0
70,1709.63,0.1663,6,1,0,0,0,0.1229,1
27,1364.51,0.3239,4,1,0,0,0,0.584,1
63,4263.07,0.2868,4,0,0,0,0,0.3151,0
29,8348.76,0.4669,7,0,0,0,0,0.6098,0
65,3818.48,0.0556,8,2,0,0,0,0.569,1
45,5931.18,0.2845,3,3,2,0,0,0.2174,0
21,6685.43,0.288,6,3,0,0,0,0.1514,1
78,4273.02,0.1616,6,2,1,1,3,0.3449,1
30,2233.46,0.1099,3,0,1,0,0,0.359,0
56,4093.62,0.3054,5,0,0,0,0,0.4751,0
31,7511.9,0.1442,6,1,0,0,0,0.4494,0
76,5003.71,0.2365,4,0,0,0,0,0.2912,0
64,5704.14,0.3013,4,0,2,0,0,0.2801,1
68,2758.58,0.0541,6,2,0,0,0,0.1945,0
46,3224.68,0.7508,1,1,0,0,2,0.0591,1
48,3390.6,0.3573,5,0,1,0,0,0.0949,0
58,3530.51,0.1964,3,0,1,0,0,0.3307,1
67,7337.66,0.2839,8,0,1,1,0,0.1893,1
