customer_id,age,annual_income,balance,spending_score,tenure_years,num_products,true_segment
C100038,18,6194.7,32118.59,66.8,4.9,2,Fidele
C100039,50,3337.27,7215.63,38.8,1.9,1,Occasionnel
C100040,37,7194.22,21159.75,66.6,5.7,1,Fidele
C100041,27,4163.72,2122.02,23.2,2.7,2,Occasionnel
C100042,38,4155.42,4567.44,17.9,1.1,1,Occasionnel
C100043,21,6155.92,29153.49,81.5,13.1,2,Fidele
C100044,44,4099.1,2233.17,56.8,3.0,1,Occasionnel
C100045,35,4266.0,1877.74,0.0,2.7,2,Occasionnel
C100046,58,6141.57,24972.82,45.8,5.7,2,Fidele
C100047,22,4979.68,28674.83,74.2,9.9,1,Fidele
C100048,25,2440.01,7291.09,26.3,1.2,1,Occasionnel
C100049,49,16784.55,69265.24,66.2,8.5,4,Premium
C100050,28,4692.43,15122.24,74.1,5.2,1,Fidele
C100051,42,19603.36,88429.01,88.4,7.6,4,Premium
C100052,20,4159.81,1463.7,32.9,2.5,2,Occasionnel
C100053,36,1367.13,-1463.47,51.1,3.1,1,Occasionnel
C100054,43,4863.44,1584.1,24.0,2.1,1,Occasionnel
C100055,34,2345.88,-1016.65,69.9,1.2,2,Occasionnel
C100056,45,7121.27,18344.58,52.2,11.0,2,Fidele
C100057,40,5766.4,1097.35,41.4,2.2,1,Occasionnel
C100058,47,16455.55,78594.36,70.9,16.6,4,Premium
C100059,61,17339.31,52011.89,89.1,7.1,5,Premium
C100060,51,500.0,1282.67,0.0,2.6,2,Occasionnel
C100061,33,7613.2,18377.81,60.7,5.9,1,Fidele
C100062,37,6511.64,3070.56,8.2,1.2,1,Occasionnel
C100063,21,1541.17,-1099.19,33.6,1.0,1,Occasionnel
C100064,30,2200.1,5391.9,12.8,2.5,1,Occasionnel
C100065,41,4448.59,-751.54,38.2,2.8,1,Occasionnel
C100066,28,4928.07,2744.5,23.2,4.1,3,Occasionnel
C100067,22,4143.69,24370.22,69.9,5.1,1,Fidele
C100068,43,13353.3,87706.32,77.9,4.7,4,Premium
C100069,64,8519.88,26339.3,54.3,5.9,1,Fidele
C100070,28,8528.1,21000.45,53.4,6.3,2,Fidele
C100071,38,8949.38,27013.65,47.5,9.2,1,Fidele
C100072,34,3678.62,232.19,20.8,0.0,1,Risque
C100073,37,7599.78,15493.35,26.7,8.2,2,Fidele
C100074,57,7554.44,79799.66,75.6,13.2,4,Premium
C100075,49,8274.16,27083.02,55.8,4.7,3,Fidele
C100076,46,11370.05,28126.48,46.5,7.9,3,Fidele
C100077,42,3574.92,2351.69,12.1,2.7,2,Occasionnel
C100078,29,5338.91,4650.7,15.5,0.8,2,Occasionnel
C100079,33,2805.17,3703.09,42.8,4.0,2,Occasionnel
C100080,27,3400.46,5373.75,0.0,3.1,1,Occasionnel
C100081,30,6396.96,25419.97,42.1,4.6,1,Fidele
C100082,31,3546.88,2277.09,45.7,0.0,1,Occasionnel
C100083,36,4908.62,21073.36,60.1,9.9,1,Fidele
C100084,51,17767.46,118286.51,96.1,9.1,4,Premium
C100085,30,21999.02,74935.43,85.7,18.2,5,Premium
C100086,32,3192.41,2070.51,46.1,1.0,1,Occasionnel
C100087,37,3931.88,25706.59,37.6,10.5,1,Fidele
C100088,49,10511.35,12847.96,64.7,7.9,3,Fidele
C100089,18,1098.73,3825.58,25.0,1.5,1,Occasionnel
C100090,26,10537.57,21586.9,60.8,8.8,3,Fidele
C100091,26,3963.0,5058.4,8.9,2.8,1,Occasionnel
C100092,64,5150.8,22404.08,50.2,13.3,2,Fidele
C100093,31,5545.36,9363.87,54.2,7.5,3,Fidele
C100094,40,6352.02,23796.67,40.7,5.2,4,Fidele
C100095,20,3827.49,4650.14,38.3,0.0,1,Occasionnel
C100096,26,9448.51,10009.45,64.0,9.7,2,Fidele
C100097,34,19518.32,103360.07,89.7,7.9,4,Premium
C100098,37,7048.5,54658.23,84.3,13.4,3,Premium
C100099,26,2117.93,-660.62,14.7,0.9,1,Risque
C100100,32,500.0,-743.01,9.8,0.9,1,Risque
C100101,27,5617.27,3643.63,22.7,1.9,1,Occasionnel
C100102,24,4425.4,16576.65,57.2,4.6,3,Fidele
C100103,23,960.22,-3644.29,8.1,1.8,1,Risque
C100104,24,2071.08,3465.33,7.3,2.8,1,Occasionnel
C100105,38,3040.89,2927.42,58.6,0.0,1,Occasionnel
C100106,30,3066.76,20318.09,58.1,7.4,2,Fidele
C100107,28,11335.03,14154.11,61.0,6.2,3,Fidele
C100108,36,8940.42,59439.81,75.6,14.3,3,Premium
C100109,19,2461.36,-186.9,12.6,3.4,1,Risque
C100110,35,7624.75,20660.43,47.3,5.9,3,Fidele
C100111,28,7908.83,20532.46,36.8,7.2,1,Fidele
C100112,48,6589.79,13438.55,66.5,10.7,1,Fidele
C100113,38,5805.24,3819.86,16.7,2.7,1,Occasionnel
C100114,31,7931.57,24543.8,63.3,11.3,1,Fidele
C100115,24,622.59,-1295.85,14.3,0.5,2,Risque
C100116,34,4439.93,7069.87,7.9,2.9,3,Occasionnel
C100117,20,4824.07,2514.85,34.3,1.2,1,Occasionnel
C100118,29,3971.59,13886.75,48.6,10.8,1,Fidele
C100119,29,4680.15,2271.02,29.0,0.8,2,Occasionnel
C100120,19,4686.81,2117.89,52.3,1.1,1,Occasionnel
C100121,29,6731.57,3778.75,24.3,0.0,1,Occasionnel
C100122,44,11616.13,94433.24,86.1,7.9,4,Premium
C100123,35,5318.16,38303.79,59.9,9.0,3,Fidele
C100124,51,8628.1,101674.62,92.1,7.0,3,Premium
C100125,52,7210.32,19124.17,70.1,7.2,4,Fidele
C100126,43,2458.22,10629.65,68.7,0.9,2,Fidele
C100127,58,15176.76,60852.15,81.3,13.0,2,Premium
C100128,48,16573.66,80481.55,98.0,12.3,5,Premium
C100129,35,4137.31,-1243.49,24.5,1.7,1,Occasionnel
C100130,39,6394.96,12125.27,48.2,9.1,3,Fidele
C100131,30,2058.65,-421.29,23.8,0.0,1,Risque
C100132,38,2482.99,2729.88,35.0,2.2,1,Occasionnel
C100133,23,6271.67,29180.64,37.1,1.2,3,Fidele
C100134,34,4958.2,4761.29,33.0,0.8,3,Occasionnel
C100135,41,9278.99,52368.42,88.5,4.4,5,Premium
C100136,33,4205.56,-454.56,18.4,1.6,2,Risque
C100137,26,6394.62,16726.79,39.2,2.2,2,Fidele
C100138,40,3150.17,1947.54,33.5,3.0,1,Occasionnel
C100139,24,18108.51,76375.6,82.1,5.5,4,Premium
C100140,25,5897.84,9089.89,51.3,7.5,2,Fidele
C100141,56,5008.22,26829.7,72.5,8.8,2,Fidele
C100142,31,2911.4,-5566.64,13.5,0.4,2,Risque
C100143,32,3835.09,3373.41,34.1,2.1,1,Occasionnel
C100144,46,3355.94,16675.41,46.3,6.6,3,Fidele
C100145,30,7289.49,25227.36,47.8,12.6,3,Fidele
C100146,33,6399.75,27484.53,47.6,9.4,2,Fidele
C100147,28,4555.27,7218.67,32.5,2.3,1,Occasionnel
C100148,30,4249.44,22195.71,48.6,7.3,2,Fidele
C100149,46,17404.42,96738.46,82.5,0.0,4,Premium
C100150,37,2767.97,3663.2,23.8,1.6,1,Occasionnel
C100151,20,2554.8,234.95,9.9,2.8,1,Risque
C100152,45,12807.36,71300.83,81.4,12.4,4,Premium
C100153,37,3234.56,-1478.45,42.5,2.7,1,Occasionnel
C100154,47,14309.91,75019.31,67.5,9.0,5,Premium
C100155,26,4713.77,180.23,24.6,3.3,1,Occasionnel
C100156,29,7125.07,39167.26,54.9,12.2,2,Fidele
C100157,33,3177.03,2497.99,42.1,1.6,1,Occasionnel
C100158,28,5460.08,1392.35,50.8,2.8,1,Occasionnel
C100159,18,2520.76,3206.77,19.8,2.8,2,Occasionnel
C100160,66,7200.8,57404.09,79.1,9.4,5,Premium
C100161,45,1251.07,-216.55,13.0,1.0,1,Risque
C100162,46,6410.1,6202.06,39.6,12.7,1,Fidele
C100163,57,13670.95,67032.83,82.2,3.2,1,Premium
C100164,34,2515.71,2410.85,66.1,2.4,1,Occasionnel
C100165,37,6077.95,13456.4,68.0,9.5,3,Fidele
C100166,20,6859.08,5332.14,19.3,3.7,1,Occasionnel
C100167,33,1704.66,817.34,19.4,1.3,1,Occasionnel
C100168,65,2686.21,17952.4,53.3,5.7,1,Fidele
C100169,31,2718.09,-15.09,14.4,0.2,1,Risque
C100170,55,8365.54,38089.39,84.7,6.3,3,Fidele
C100171,18,3959.93,2585.0,38.1,1.6,1,Occasionnel
C100172,56,4533.9,34384.02,40.9,3.7,3,Fidele
C100173,22,2189.77,-775.13,12.5,0.0,2,Risque
C100174,48,7126.54,30309.53,74.1,7.9,1,Fidele
C100175,53,15029.54,115162.22,75.8,5.6,4,Premium
C100176,35,5383.46,13647.01,71.7,4.8,1,Fidele
C100177,32,2786.36,-426.61,26.7,1.6,1,Risque
C100178,30,3372.52,-240.79,33.7,0.7,1,Risque
C100179,24,6777.23,3434.52,36.6,1.2,2,Occasionnel
C100180,26,3577.75,-88.61,8.2,2.5,1,Risque
C100181,25,2654.67,213.38,31.2,0.8,1,Risque
C100182,27,3957.11,3682.27,31.1,2.7,1,Occasionnel
C100183,47,6222.55,14579.88,50.1,7.0,4,Fidele
C100184,40,6020.16,3293.61,42.3,1.7,1,Occasionnel
C100185,26,4978.71,-1822.55,33.8,1.3,1,Occasionnel
C100186,36,9304.58,13371.52,50.3,8.8,2,Fidele
C100187,35,15674.99,81458.5,83.4,8.1,5,Premium
C100188,21,3989.2,3166.58,61.0,3.7,1,Occasionnel
C100189,60,8063.24,13732.58,43.9,2.0,1,Fidele
C100190,37,3114.31,-75.86,26.9,2.4,1,Risque
C100191,45,9260.08,31941.64,44.1,4.2,3,Fidele
C100192,40,16515.51,59953.84,80.2,7.3,4,Premium
C100193,33,3804.03,2698.49,29.2,3.8,2,Occasionnel
C100194,43,7660.77,18049.86,55.0,6.5,1,Fidele
C100195,42,7792.29,19108.01,55.2,7.8,1,Fidele
C100196,28,821.02,4728.22,17.2,1.7,1,Occasionnel
C100197,44,1885.62,2274.59,21.8,0.0,1,Risque
C100198,61,3437.72,26195.09,35.8,6.5,3,Fidele
C100199,23,6364.95,6691.78,82.5,7.2,1,Fidele
C100200,36,3521.33,4445.94,21.7,0.6,1,Occasionnel
C100201,18,3859.08,-1589.02,35.3,0.0,2,Risque
C100202,22,4348.33,3481.69,37.1,3.9,1,Occasionnel
C100203,44,15976.97,73704.56,87.7,10.5,4,Premium
C100204,37,13942.63,48051.45,86.6,12.3,5,Premium
C100205,62,6550.18,20421.17,51.9,5.9,2,Fidele
C100206,50,16144.78,59716.81,81.7,19.1,4,Premium
C100207,32,4347.49,3626.33,37.3,2.5,1,Occasionnel
C100208,49,19008.13,107206.79,66.3,9.9,6,Premium
C100209,50,7698.79,5704.77,33.1,2.4,1,Occasionnel
C100210,28,4421.44,5300.59,17.3,2.1,2,Occasionnel
C100211,31,4945.22,3550.66,46.6,1.2,1,Occasionnel
C100212,38,9447.33,11225.03,55.8,3.7,1,Fidele
C100213,18,5747.44,7290.84,59.1,1.6,1,Occasionnel
C100214,23,4810.75,1743.61,30.4,2.7,1,Occasionnel
C100215,34,3870.93,629.11,57.2,1.6,1,Occasionnel
C100216,34,14618.01,77150.35,97.9,14.5,5,Premium
C100217,57,16270.38,117814.6,78.6,6.7,4,Premium
C100218,39,1435.45,-1062.43,18.3,1.8,2,Risque
C100219,23,5987.54,17644.68,47.5,6.4,3,Fidele
C100220,31,7529.72,15308.63,51.8,7.4,2,Fidele
C100221,20,7451.51,14896.15,50.7,7.1,1,Fidele
C100222,27,3878.22,2978.32,43.0,2.4,2,Occasionnel
C100223,28,2251.04,2039.43,24.0,0.5,2,Risque
C100224,48,9315.35,21804.65,55.0,8.3,2,Fidele
C100225,30,3983.94,-731.9,21.2,0.7,1,Risque
C100226,46,14255.32,78093.04,79.2,3.3,4,Premium
C100227,35,3474.02,2252.38,63.3,2.0,1,Occasionnel
C100228,33,4666.32,-1930.68,37.1,0.9,1,Occasionnel
C100229,28,12412.96,79280.43,76.6,8.6,1,Premium
C100230,44,17091.52,92817.88,75.1,3.6,4,Premium
C100231,28,6732.51,21769.71,54.8,9.3,2,Fidele
C100232,40,1922.01,897.46,20.5,0.0,1,Risque
C100233,19,3744.52,1695.24,32.0,3.6,1,Occasionnel
C100234,18,891.06,-296.74,24.6,0.0,1,Risque
C100235,38,4937.4,3687.17,42.6,2.6,1,Occasionnel
C100236,42,8655.57,18241.44,64.7,10.0,3,Fidele
C100237,20,2486.37,2883.94,23.5,2.3,2,Occasionnel
C100238,48,12779.1,26548.25,95.4,10.1,3,Premium
C100239,55,16544.59,84098.79,93.9,6.9,4,Premium
C100240,24,4220.27,1447.08,36.1,2.6,1,Occasionnel
C100241,32,6328.1,3084.65,50.0,0.2,1,Occasionnel
C100242,54,3590.27,22965.47,57.7,6.1,2,Fidele
C100243,43,3663.06,3246.14,42.3,1.5,1,Occasionnel
C100244,22,6764.5,4430.15,29.5,0.5,1,Occasionnel
C100245,35,2007.1,-841.72,20.5,1.6,1,Risque
C100246,31,4245.51,1717.0,33.0,2.1,1,Occasionnel
C100247,32,3771.96,13051.08,63.5,3.3,3,Fidele
C100248,37,2433.31,25452.69,54.9,11.8,1,Fidele
C100249,24,8571.97,18350.41,57.8,9.2,1,Fidele
C100250,31,3915.24,4747.71,41.4,2.3,1,Occasionnel
C100251,40,4170.08,979.37,24.7,1.0,3,Risque
C100252,35,8347.33,16130.69,52.1,5.1,2,Fidele
C100253,71,8793.66,13641.93,67.0,8.8,2,Fidele
C100254,49,5645.28,18068.82,58.9,11.2,3,Fidele
C100255,35,4174.93,818.71,40.9,2.1,1,Occasionnel
C100256,39,3532.87,1993.25,41.3,3.2,1,Occasionnel
C100257,42,15113.02,79020.27,84.4,2.2,4,Premium
C100258,53,13784.26,109720.78,78.9,16.9,5,Premium
C100259,27,1029.17,6397.99,35.1,0.5,1,Occasionnel
C100260,47,13687.43,99293.59,86.2,7.8,5,Premium
C100261,38,5320.26,952.24,17.6,1.2,1,Occasionnel
C100262,37,5872.9,34965.11,53.1,13.2,2,Fidele
C100263,32,12967.52,57326.17,80.7,3.4,4,Premium
C100264,22,500.0,277.63,13.3,0.0,1,Risque
C100265,33,6757.9,19493.49,52.7,8.8,1,Fidele
C100266,39,9887.4,10844.77,53.7,11.2,1,Fidele
C100267,42,10387.66,27350.55,55.4,4.4,3,Fidele
C100268,31,8416.8,104842.77,78.1,13.6,6,Premium
C100269,56,16531.58,74753.71,83.4,7.1,4,Premium
C100270,57,15926.19,61910.94,75.6,14.4,3,Premium
C100271,35,8587.62,16224.57,54.3,7.9,2,Fidele
C100272,48,18398.68,83942.07,82.5,7.1,3,Premium
C100273,41,7289.07,1682.47,20.0,2.4,1,Occasionnel
C100274,44,4720.64,493.78,36.9,2.3,1,Occasionnel
C100275,46,7662.04,22270.07,48.3,7.0,2,Fidele
C100276,29,9670.77,15154.72,64.2,9.0,3,Fidele
C100277,34,4811.98,1345.47,42.5,0.7,1,Occasionnel
C100278,18,2622.87,-2801.01,13.6,1.8,1,Risque
C100279,43,1739.2,-239.76,13.3,2.2,3,Risque
C100280,60,12874.17,75944.61,82.0,7.8,4,Premium
C100281,28,6488.32,30246.19,64.9,12.8,1,Fidele
C100282,44,6218.12,15273.92,76.4,8.7,1,Fidele
C100283,26,6741.96,31182.86,47.8,5.2,1,Fidele
C100284,31,3726.11,3276.73,40.5,3.2,2,Occasionnel
C100285,49,5042.57,11605.92,63.0,4.2,2,Fidele
C100286,56,22581.53,110769.31,86.0,11.4,5,Premium
C100287,40,6649.98,17656.75,32.1,12.9,2,Fidele
C100288,26,5736.68,4413.08,19.9,3.5,1,Occasionnel
C100289,52,13481.06,86812.44,73.8,12.4,3,Premium
C100290,18,3941.09,2962.72,27.7,2.4,1,Occasionnel
C100291,36,11499.56,84113.18,87.1,13.1,4,Premium
C100292,18,2298.84,-1992.59,16.4,0.9,1,Risque
C100293,62,11025.26,98012.94,70.9,9.6,4,Premium
C100294,28,4400.83,2350.62,12.4,0.5,1,Occasionnel
C100295,32,2081.75,1406.73,30.1,2.0,1,Risque
C100296,37,3652.58,2130.39,15.4,0.0,2,Risque
C100297,31,1652.18,514.45,9.1,2.2,2,Occasionnel
C100298,29,3205.99,1545.74,31.2,2.3,1,Occasionnel
C100299,35,4551.03,-92.07,50.4,1.7,1,Occasionnel
C100300,18,5360.82,4473.12,31.5,3.3,1,Occasionnel
C100301,50,8064.31,101857.43,74.3,12.1,4,Premium
C100302,29,5402.41,4612.15,58.6,1.9,2,Occasionnel
C100303,46,1631.23,2919.1,27.5,4.1,1,Occasionnel
C100304,32,2564.57,2310.96,26.5,1.6,1,Risque
C100305,18,4765.18,31199.97,64.9,9.5,1,Fidele
C100306,41,9050.02,21345.39,37.5,9.3,3,Fidele
C100307,38,1783.33,3882.9,30.5,2.8,1,Occasionnel
C100308,20,8087.37,38171.73,43.2,7.0,2,Fidele
C100309,41,21130.51,95672.1,74.7,13.0,5,Premium
C100310,48,9859.12,17846.88,59.0,8.8,2,Fidele
C100311,37,3741.43,22056.34,47.5,5.0,2,Fidele
C100312,62,10803.39,35241.19,45.9,9.2,1,Fidele
C100313,53,3855.05,7888.61,49.2,4.5,2,Fidele
C100314,27,4603.38,6898.0,63.8,6.9,3,Fidele
C100315,18,5758.36,13635.93,43.8,6.1,3,Fidele
C100316,31,9615.44,26506.98,54.4,0.0,3,Fidele
C100317,35,4876.21,4752.47,15.1,2.3,1,Occasionnel
C100318,25,7451.15,7121.19,50.5,7.0,3,Fidele
C100319,33,3712.64,36.27,22.7,1.2,1,Risque
C100320,26,4040.96,-1192.35,15.6,0.2,2,Risque
C100321,62,6512.34,24776.39,64.8,5.3,1,Fidele
C100322,40,5414.75,24213.65,65.2,7.4,2,Fidele
C100323,33,2879.79,3202.42,24.8,2.9,2,Occasionnel
C100324,27,5341.89,5787.22,12.2,3.5,1,Occasionnel
C100325,18,1554.75,952.41,6.8,2.9,1,Occasionnel
C100326,34,3852.39,2302.66,12.4,1.9,1,Occasionnel
C100327,18,3948.64,2064.52,31.3,1.3,1,Occasionnel
C100328,27,4720.7,4294.48,18.9,0.9,1,Occasionnel
C100329,51,4248.13,36115.12,33.0,8.0,1,Fidele
C100330,30,2453.26,131.72,22.5,0.0,1,Occasionnel
C100331,37,9265.25,28363.88,67.5,13.3,3,Fidele
C100332,26,1049.85,5895.95,36.1,2.2,1,Occasionnel
C100333,32,2535.88,-17.36,33.1,3.1,1,Risque
C100334,38,20484.27,108389.27,69.3,10.8,5,Premium
C100335,47,4256.91,4123.55,6.8,1.6,1,Occasionnel
C100336,48,17402.98,92173.65,90.2,9.4,5,Premium
C100337,45,4789.65,6500.59,31.2,1.7,1,Occasionnel
C100338,28,11415.64,83353.03,70.3,4.2,4,Premium
C100339,22,2068.6,-1909.59,27.4,1.2,1,Risque
C100340,52,22245.07,104783.44,73.0,12.4,5,Premium
C100341,23,2952.62,3018.25,20.0,0.4,3,Risque
C100342,38,5511.18,2918.86,42.7,3.0,1,Occasionnel
C100343,23,3462.17,1899.36,44.0,1.9,1,Occasionnel
C100344,45,5163.52,4314.21,37.7,3.9,3,Occasionnel
C100345,35,4728.66,5061.13,29.2,1.4,1,Occasionnel
C100346,28,3184.22,1291.54,19.2,1.0,1,Risque
C100347,38,8597.28,22912.4,47.7,8.9,3,Fidele
C100348,22,5983.61,1571.16,20.6,1.0,1,Occasionnel
C100349,35,13593.12,78182.08,92.6,10.2,3,Premium
C100350,30,3916.92,-995.19,28.8,0.7,2,Occasionnel
C100351,40,9704.9,30873.06,57.8,9.0,1,Fidele
C100352,38,1405.15,-652.53,54.8,2.7,2,Occasionnel
C100353,25,3898.51,3522.77,34.1,3.2,1,Occasionnel
C100354,53,7793.64,24311.23,43.7,9.5,2,Fidele
C100355,31,4132.68,6080.38,28.4,1.4,2,Occasionnel
C100356,33,4777.29,398.32,38.5,0.9,3,Occasionnel
C100357,21,1700.98,2455.27,30.7,3.5,1,Occasionnel
C100358,44,1715.8,16319.44,59.5,10.6,2,Fidele
C100359,28,3531.93,2303.1,33.4,0.5,1,Occasionnel
C100360,18,1116.05,-43.21,20.9,0.1,2,Risque
C100361,49,13923.9,80664.93,74.3,8.3,3,Premium
C100362,40,20749.04,114431.54,78.1,15.1,3,Premium
C100363,42,17635.64,112438.48,69.9,4.3,4,Premium
C100364,22,5302.16,6841.06,26.3,3.0,2,Occasionnel
C100365,27,4510.83,10843.15,85.6,9.4,3,Fidele
C100366,37,3843.87,7517.39,23.8,1.4,1,Occasionnel
C100367,23,3541.4,3848.91,44.9,2.4,1,Occasionnel
C100368,59,7929.74,15445.08,56.5,8.8,1,Fidele
C100369,33,2783.28,995.57,4.7,0.0,1,Risque
C100370,32,6859.49,4796.0,0.7,3.1,1,Occasionnel
C100371,36,6260.57,19679.41,49.5,10.1,1,Fidele
C100372,35,5882.32,21400.15,52.2,0.7,2,Fidele
C100373,18,4793.55,2918.44,37.4,14.3,1,Fidele
C100374,48,8895.18,18243.52,72.4,12.8,2,Fidele
C100375,37,23804.41,79836.48,88.3,16.6,5,Premium
C100376,18,2195.73,-1237.59,11.8,0.6,3,Risque
C100377,41,7912.39,20228.65,58.8,8.7,3,Fidele
C100378,41,8002.38,24380.3,42.4,3.8,3,Fidele
C100379,19,2394.99,4740.4,37.2,2.5,1,Occasionnel
C100380,21,5849.73,439.36,22.8,1.7,1,Occasionnel
C100381,31,1995.58,-2161.94,24.6,0.6,1,Risque
C100382,21,5531.87,4397.05,1.4,3.4,2,Occasionnel
C100383,35,5732.8,33014.41,42.8,11.6,1,Fidele
C100384,33,7352.58,21485.23,55.2,5.9,2,Fidele
C100385,32,1670.87,-3819.88,4.2,0.2,1,Risque
C100386,28,3662.25,960.79,15.4,2.3,2,Occasionnel
C100387,21,1749.14,-375.41,12.5,2.3,3,Risque
C100388,43,15994.89,70928.97,88.5,9.9,3,Premium
C100389,18,4006.77,-812.23,16.1,0.2,3,Risque
C100390,31,3950.66,2656.93,29.5,5.7,2,Occasionnel
C100391,64,13411.88,109263.47,87.4,11.3,4,Premium
C100392,33,3945.31,5279.47,31.5,0.3,1,Occasionnel
C100393,18,4272.92,3161.87,41.1,0.3,1,Occasionnel
C100394,59,12552.78,96008.37,85.4,8.4,4,Premium
C100395,36,4324.47,12723.5,66.2,9.6,3,Fidele
C100396,29,3108.19,5204.99,42.1,3.0,2,Occasionnel
C100397,46,6740.34,5455.36,41.2,4.2,1,Fidele
C100398,48,1944.14,25496.09,68.4,14.7,3,Fidele
C100399,37,3863.77,13047.3,53.9,3.7,2,Fidele
C100400,51,6355.38,26934.7,43.8,8.2,1,Fidele
C100401,24,2063.21,278.93,49.0,0.1,2,Risque
C100402,24,3357.78,5598.53,6.8,2.0,1,Occasionnel
C100403,49,7612.02,86311.63,80.7,3.3,5,Premium
C100404,34,3872.51,-480.39,26.7,0.0,1,Risque
C100405,31,2657.23,210.83,31.0,0.0,1,Risque
C100406,39,11750.24,31179.36,49.4,1.6,2,Fidele
C100407,34,3467.16,-513.87,35.7,2.8,1,Occasionnel
C100408,45,13885.62,73562.55,74.8,9.4,4,Premium
C100409,18,1140.74,716.63,11.9,2.0,1,Risque
C100410,28,3515.05,-1355.4,40.9,0.9,1,Occasionnel
C100411,29,3533.87,5324.18,33.3,2.1,2,Occasionnel
C100412,53,19578.37,86633.93,71.9,11.3,3,Premium
C100413,29,2728.92,-2690.27,23.6,1.3,1,Risque
C100414,56,17395.34,79565.83,92.9,12.7,3,Premium
C100415,34,3398.51,7647.4,76.0,7.9,2,Fidele
C100416,37,15081.23,66713.24,87.6,9.2,3,Premium
C100417,24,638.76,5404.81,37.5,2.5,2,Occasionnel
C100418,42,4512.84,24431.14,38.3,6.7,3,Fidele
C100419,30,1074.5,803.35,2.4,1.7,2,Risque
C100420,44,4146.47,3513.19,1.0,1.5,1,Occasionnel
C100421,44,11020.26,82580.85,73.1,1.2,5,Premium
C100422,27,15907.49,85308.48,80.4,3.8,4,Premium
C100423,56,19051.25,72492.1,77.0,18.2,3,Premium
C100424,20,3208.8,3784.43,15.1,2.2,2,Occasionnel
C100425,27,1199.78,4786.1,50.5,0.6,1,Occasionnel
C100426,24,7433.55,30340.98,46.2,11.4,2,Fidele
C100427,31,3474.92,4748.82,25.8,2.4,2,Occasionnel
C100428,66,16722.88,98076.51,68.7,5.6,5,Premium
C100429,28,3428.56,2391.63,63.3,3.4,1,Occasionnel
C100430,30,3228.57,-1109.87,16.7,2.0,1,Risque
C100431,24,5912.87,4911.7,10.8,0.8,1,Occasionnel
C100432,18,3191.16,2307.05,53.5,0.7,1,Occasionnel
C100433,24,5001.69,3487.1,20.8,3.2,1,Occasionnel
C100434,46,15666.94,105776.65,81.8,15.7,3,Premium
C100435,43,10538.85,28152.31,66.4,6.7,2,Fidele
C100436,24,11812.17,99397.95,75.8,6.3,5,Premium
C100437,22,6074.22,3400.04,42.9,0.7,1,Occasionnel
C100438,43,3057.9,1281.12,25.6,2.8,1,Occasionnel
C100439,48,3928.75,1514.03,31.7,2.1,2,Occasionnel
C100440,19,2250.67,276.37,25.1,0.7,1,Risque
C100441,21,7404.34,3228.96,57.6,11.4,1,Fidele
C100442,30,6593.04,7468.22,38.9,1.6,1,Occasionnel
